feature,pearson_corr,pearson_p_value,pearson_significant,spearman_corr,spearman_p_value,spearman_significant,abs_pearson,abs_spearman,n_samples
koi_score,0.8376399055060352,0.0,True,0.810873456466613,0.0,True,0.8376399055060352,0.810873456466613,9564
koi_fpflag_ss,-0.536329721337974,0.0,True,-0.5363297213379737,0.0,True,0.536329721337974,0.5363297213379737,9564
koi_fpflag_co,-0.49022999722561816,0.0,True,-0.49022999722561816,0.0,True,0.49022999722561816,0.49022999722561816,9564
koi_prad_log,-0.40098752118377334,0.0,True,-0.3032421106603831,1.3771521915272538e-202,True,0.40098752118377334,0.3032421106603831,9564
rowid,-0.377725047527527,5.04e-322,True,-0.377725047527527,0.0,True,0.377725047527527,0.377725047527527,9564
koi_count,0.36525958012134874,1.0592582812829843e-299,True,0.40461057498680175,0.0,True,0.36525958012134874,0.40461057498680175,9564
koi_fpflag_ec,-0.36495656135006205,3.5930312475173066e-299,True,-0.36495656135006205,3.593031247514496e-299,True,0.36495656135006205,0.36495656135006205,9564
koi_smet_err2,0.3574571405344921,3.17452732290603e-286,True,0.35772322681875235,1.1176135950779853e-286,True,0.3574571405344921,0.35772322681875235,9564
koi_steff_err1,-0.3469483690763883,1.1535323243931191e-268,True,-0.354804453799449,9.950525162741956e-282,True,0.3469483690763883,0.354804453799449,9564
koi_dikco_msky,-0.3362246086049489,1.9838132357030582e-251,True,-0.2475995594499145,1.4310994551034692e-133,True,0.3362246086049489,0.2475995594499145,9564
koi_dicco_msky,-0.33437997070603404,1.5622296158371976e-248,True,-0.25674475212222336,8.175341911892429e-144,True,0.33437997070603404,0.25674475212222336,9564
koi_incl,0.32826654055659243,4.47216723563576e-239,True,0.3521668472534019,2.665529391056269e-277,True,0.32826654055659243,0.3521668472534019,9564
ror_dor_ratio,-0.32679178064046155,7.932082871228122e-237,True,-0.4474913026750831,0.0,True,0.32679178064046155,0.4474913026750831,9564
koi_smet_err1,-0.3179737186515096,1.2193848292096757e-223,True,-0.329608863420239,3.914586241638049e-241,True,0.3179737186515096,0.329608863420239,9564
koi_steff_err2,0.30948458027579673,2.3199667029923645e-211,True,0.36304188993329534,7.833866724917128e-296,True,0.30948458027579673,0.36304188993329534,9564
koi_fwm_stat_sig,0.2989145483923536,1.2454896167177868e-196,True,0.44868318637673693,0.0,True,0.2989145483923536,0.44868318637673693,9564
